Nº del SIN;nombre_codex;cod_codex_std;sinonimos;comentarios;idioma
100(i);Curcumina;100i;COLOR NATURAL CURCUMA;;español
100(i);Curcumina;100i;COLORANTE CURCUMA;;español
100(i);Curcumina;100i;COLORANTE NATURAL CURCUMA;;español
100(i);Curcumina;100i;COLORANTE NATURAL DERIVADO DEL CURCUMA;;español
100(i);Curcumina;100i;CURCUMA COLORANTE;;español
100(i);Curcumina;100i;CURCUMINA;;español
100(i);Curcumina;100i;E-100;;español
101(i);Riboflavina, sintéticas;101i;RIBOFLAVINA SINTETICA;;español
101(i);Riboflavina, sintéticas;101i;RIBOFLAVINA SINTETICAS;;español
101(ii);Riboflavina 5', fosfato de sodio;101ii;RIBOFLAVINA 5 FOSFATO DE SODIO;;español
101(ii);Riboflavina 5', fosfato de sodio;101ii;RIBOFLAVINA 5' FOSFATO DE SODIO;;español
101(iii);Riboflavina de Bacillus subtilis;101iii;RIBOFLAVINA DE BACILLUS SUBTILIS;;español
102;Tartrazina;102;"	AMARILLO FD&C 5";;español
102;Tartrazina;102;"	AMARILLO N5";;español
102;Tartrazina;102;"	AMARILLO NO. 5";;español
102;Tartrazina;102;"	FD&C AMARILLO 5";;español
102;Tartrazina;102;AMARILLO 4;;español
102;Tartrazina;102;AMARILLO 5;;español
102;Tartrazina;102;AMARILLO ALIMENTOS 4;;español
102;Tartrazina;102;AMARILLO N0.5;;español
102;Tartrazina;102;AMARILLO NO.5;;español
102;Tartrazina;102;E 102;;español
102;Tartrazina;102;INS 102;;español
102;Tartrazina;102;TARTAZINA;;español
102;Tartrazina;102;TARTRAZINA;;español
102;Tartrazina;102;TATRAZINA;ERROR ORTOGRAFICO;español
104;Amarillo de quinoleína;104;AMARILLO DE QUINOLEINA;;español
110;Amarillo ocaso FCF;110;"	AMARILLO 5 Y 6";;español
110;Amarillo ocaso FCF;110;"	AMARILLO FD&C 6";;español
110;Amarillo ocaso FCF;110;"	AMARILLO NO. 6";;español
110;Amarillo ocaso FCF;110;AMARILLA CREPUSCULO;;español
110;Amarillo ocaso FCF;110;AMARILLO  6;;español
110;Amarillo ocaso FCF;110;AMARILLO  6;;español
110;Amarillo ocaso FCF;110;AMARILLO 6;;español
110;Amarillo ocaso FCF;110;AMARILLO ALIMENTOS 3;;español
110;Amarillo ocaso FCF;110;AMARILLO CREPUSCULO;;español
110;Amarillo ocaso FCF;110;AMARILLO N0.6;;español
110;Amarillo ocaso FCF;110;AMARILLO N6;;español
110;Amarillo ocaso FCF;110;AMARILLO NO.6;;español
110;Amarillo ocaso FCF;110;AMARILLO OCASO;;español
110;Amarillo ocaso FCF;110;AMARILLO OCASO FCF;;español
110;Amarillo ocaso FCF;110;AMARILLO SUNSET;;español
110;Amarillo ocaso FCF;110;E 110;;español
110;Amarillo ocaso FCF;110;FD&C AMARILLO 6;;español
110;Amarillo ocaso FCF;110;INS 110;;español
1100(i);alfa-Amilasa de Aspergillus oryzae var.;1100i;ALFA AMILASA DE ASPERGILLUS ORYZAE VAR.;;español
